Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Comfort Suites,78744.0,2022-12-22,94,"5001 S IH AUSTIN, TX 78744",11905043,Routine Inspection
Mr. Natural,78704.0,2022-12-22,93,"2414 S LAMAR BLVD AUSTIN, TX 78704 ",2802068,Routine Inspection
LW - Dominos Pizza,78734.0,2022-12-22,95,"900 S FM 620 RD LAKEWAY, TX 78734",11486839,Routine Inspection
Star Stop 79,78750.0,2022-12-22,89,"12801 N FM 620 RD AUSTIN, TX 78750 ",11028028,Routine Inspection
Capital One Downtown Austin,78701.0,2022-12-22,96,"106 E 6TH ST AUSTIN, TX 78701 ",12397653,Routine Inspection
Papa Murphy's Pizza,78748.0,2022-12-22,98,"2110 W SLAUGHTER LN AUSTIN, TX 78748 ",10894067,Routine Inspection
1st Express,78745.0,2022-12-22,90,"4111 S 1ST ST AUSTIN, TX 78745 ",11941326,Routine Inspection
"Collinfield House, The",78758.0,2022-12-22,98,"9205 COLLINFIELD DR AUSTIN, TX 78758 ",10582054,Routine Inspection
7-Eleven Convenience Store ,78723.0,2022-12-22,91,"6518 ED BLUESTEIN BLVD AUSTIN, TX 78723 ",12111280,Routine Inspection
Prime Food Mart,78702.0,2022-12-22,91,"601 N IH AUSTIN, TX 78702",11662524,Routine Inspection
Korean Grill,78753.0,2022-12-22,90,"10901 N LAMAR BLVD AUSTIN, TX 78753 ",10159246,Routine Inspection
In-N-Out Burger,78751.0,2022-12-22,95,"4515 AIRPORT BLVD AUSTIN, TX 78751 ",11050957,Routine Inspection
MN - Las Salsas Bar and Grille,78653.0,2022-12-22,89,"109 N BURNET ST MANOR, TX 78653 ",12395517,Routine Inspection
Speedi-Stop,78702.0,2022-12-22,90,"1621 E CESAR CHAVEZ ST AUSTIN, TX 78702 ",2803792,Routine Inspection
7 - Eleven Convenience Store ,78753.0,2022-12-22,86,"701 W BRAKER LN AUSTIN, TX 78753 ",12186546,Routine Inspection
MN - Subway,78653.0,2022-12-22,100,"11923 E US 290 HWY MANOR, TX 78653 ",11045391,Follow-Up Inspection
Dairy Queen,78729.0,2022-12-22,98,"13301 N US 183 HWY AUSTIN, TX 78729 ",12392945,Routine Inspection
McDonald's # 16899,78750.0,2022-12-22,98,"12801 N FM 620 RD AUSTIN, TX 78750 ",12396761,Routine Inspection
EZ Corner Store,78745.0,2022-12-22,86,"719 W WILLIAM CANNON DR AUSTIN, TX 78745 ",2803518,Routine Inspection
Panda Express,78726.0,2022-12-22,94,"11521 N FM 620 RD AUSTIN, TX 78726 ",2802514,Routine Inspection
Amy's Ice Cream,78748.0,2022-12-22,92,"9600 S IH AUSTIN, TX 78748",10014585,Routine Inspection
Lamme's Candies,78751.0,2022-12-22,100,"5330 AIRPORT BLVD AUSTIN, TX 78751 ",2803345,Routine Inspection
Circle K ,78745.0,2022-12-22,95,"1405 W WILLIAM CANNON DR AUSTIN, TX 78745 ",2803580,Routine Inspection
PF - The Springs of Austin LLC,78660.0,2022-12-22,92,"1020 E WELLS BRANCH PKWY PFLUGERVILLE, TX 78660 ",12396357,Routine Inspection
Vitamix,78759.0,2022-12-22,98,"10401 RESEARCH BLVD AUSTIN, TX 78759 ",11555077,Routine Inspection
Domino's,78701.0,2022-12-22,95,"311 W 5TH ST AUSTIN, TX 78701 ",12393068,Routine Inspection
Cooper's Sandwiches,78735.0,2022-12-22,92,"4601 SOUTHWEST PKWY AUSTIN, TX 78735 ",12185936,Routine Inspection
Subway # 63381,78723.0,2022-12-22,93,"7112 ED BLUESTEIN BLVD AUSTIN, TX 78723 ",11280513,Routine Inspection
MN - Chokdee Restaurant,78653.0,2022-12-22,87,11300 HWY 290 STE 160 MANOR TX 78653 ,11647869,Routine Inspection
Dollar Tree ,78748.0,2022-12-22,96,"9500 S IH AUSTIN, TX 78748",12392757,Routine Inspection
Chipotle Mexican Grill ,78704.0,2022-12-22,94,"2320 S LAMAR BLVD AUSTIN, TX 78704 ",10828111,Routine Inspection
MN - Super Donuts #9,78653.0,2022-12-22,91,"14001 SHADOWGLEN BLVD MANOR, TX 78653 ",11475217,Routine Inspection
Toy Joy And Yummi Joy,78751.0,2022-12-22,100,"4631 AIRPORT BLVD AUSTIN, TX 78751 ",11942931,Routine Inspection
Courtesy Shell #2,78704.0,2022-12-21,91,"3906 S CONGRESS AVE AUSTIN, TX 78704 ",11155987,Routine Inspection
Holiday Inn Austin Town Lake Pecan Tree Restaurant,78701.0,2022-12-21,92,"20 N IH AUSTIN, TX 78701",10004208,Routine Inspection
Nik's Italian Kitchen & Bar,78726.0,2022-12-21,92,"7900 N FM 620 RD AUSTIN, TX 78726 ",10835759,Routine Inspection
See's Candy Shop,78759.0,2022-12-21,98,"10710 RESEARCH BLVD SB AUSTIN, TX 78759 ",11119596,Routine Inspection
Omni Barton Creek Resort & Spa (Nopales),78735.0,2022-12-21,100,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",12176458,Routine Inspection
Omni Barton Crk Resort & Spa- Texas Spice,78735.0,2022-12-21,100,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",11084376,Routine Inspection
PF - 1st Step Early Learning Center,78660.0,2022-12-21,96,"401 FM 685 RD PFLUGERVILLE, TX 78660 ",12392496,Routine Inspection
PF - Pflour Shop Bakery LLC,78660.0,2022-12-21,94,"20205 FM 685 RD PFLUGERVILLE, TX 78660 ",12392758,Routine Inspection
Omni Barton Creek Resort & Spa - Velvet Joes,78735.0,2022-12-21,100,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",12183593,Routine Inspection
Mobil Food Mart #2,78701.0,2022-12-21,91,"717 E 7TH ST AUSTIN, TX 78701 ",2803620,Routine Inspection
Kwik Stop,78753.0,2022-12-21,88,"11331 N LAMAR BLVD AUSTIN, TX 78753 ",12392884,Routine Inspection
Nothing Bundt Cakes - Austin South,78748.0,2022-12-21,94,"9600 S IH AUSTIN, TX 78748",12395476,Routine Inspection
