Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description,coordinates,original_latitude,original_longitude,new_latitude,new_longitude
Comfort Suites,78744.0,2022-12-22,94,"5001 S IH AUSTIN, TX 78744",11905043,Routine Inspection,,,,30.2047317,-97.757722
Mr. Natural,78704.0,2022-12-22,93,"2414 S LAMAR BLVD AUSTIN, TX 78704 ",2802068,Routine Inspection,"['30.24719', ' -97.77767']",30.24719, -97.77767,30.2471789,-97.777492
LW - Dominos Pizza,78734.0,2022-12-22,95,"900 S FM 620 RD LAKEWAY, TX 78734",11486839,Routine Inspection,,,,30.3560033,-97.9611168
Star Stop 79,78750.0,2022-12-22,89,"12801 N FM 620 RD AUSTIN, TX 78750 ",11028028,Routine Inspection,"['30.46604', ' -97.80362']",30.46604, -97.80362,30.4654949,-97.8031685
Capital One Downtown Austin,78701.0,2022-12-22,96,"106 E 6TH ST AUSTIN, TX 78701 ",12397653,Routine Inspection,"['30.26794', ' -97.74236']",30.26794, -97.74236,30.2681205,-97.7423528
Papa Murphy's Pizza,78748.0,2022-12-22,98,"2110 W SLAUGHTER LN AUSTIN, TX 78748 ",10894067,Routine Inspection,"['30.17375', ' -97.82537']",30.17375, -97.82537,30.1748257,-97.8241569
1st Express,78745.0,2022-12-22,90,"4111 S 1ST ST AUSTIN, TX 78745 ",11941326,Routine Inspection,"['30.22463', ' -97.77068']",30.22463, -97.77068,30.2244965,-97.7705128
"Collinfield House, The",78758.0,2022-12-22,98,"9205 COLLINFIELD DR AUSTIN, TX 78758 ",10582054,Routine Inspection,"['30.36436', ' -97.70223']",30.36436, -97.70223,30.364215,-97.7020338
7-Eleven Convenience Store ,78723.0,2022-12-22,91,"6518 ED BLUESTEIN BLVD AUSTIN, TX 78723 ",12111280,Routine Inspection,"['30.30355', ' -97.66122']",30.30355, -97.66122,30.3034025,-97.6616927
Prime Food Mart,78702.0,2022-12-22,91,"601 N IH AUSTIN, TX 78702",11662524,Routine Inspection,,,,30.2659563,-97.7339383
Korean Grill,78753.0,2022-12-22,90,"10901 N LAMAR BLVD AUSTIN, TX 78753 ",10159246,Routine Inspection,"['30.37841', ' -97.6879']",30.37841, -97.6879,30.3790603,-97.6869147
In-N-Out Burger,78751.0,2022-12-22,95,"4515 AIRPORT BLVD AUSTIN, TX 78751 ",11050957,Routine Inspection,"['30.30437', ' -97.71544']",30.30437, -97.71544,30.3042887,-97.7155513
MN - Las Salsas Bar and Grille,78653.0,2022-12-22,89,"109 N BURNET ST MANOR, TX 78653 ",12395517,Routine Inspection,"['30.34161', ' -97.55648']",30.34161, -97.55648,30.3415554,-97.5567132
Speedi-Stop,78702.0,2022-12-22,90,"1621 E CESAR CHAVEZ ST AUSTIN, TX 78702 ",2803792,Routine Inspection,"['30.25792', ' -97.72692']",30.25792, -97.72692,30.257603,-97.7270278
7 - Eleven Convenience Store ,78753.0,2022-12-22,86,"701 W BRAKER LN AUSTIN, TX 78753 ",12186546,Routine Inspection,"['30.38117', ' -97.68556']",30.38117, -97.68556,30.3810816,-97.6856532
MN - Subway,78653.0,2022-12-22,100,"11923 E US 290 HWY MANOR, TX 78653 ",11045391,Follow-Up Inspection,"['30.34906', ' -97.54325']",30.34906, -97.54325,30.3486871,-97.5414551
Dairy Queen,78729.0,2022-12-22,98,"13301 N US 183 HWY AUSTIN, TX 78729 ",12392945,Routine Inspection,"['30.44781', ' -97.78172']",30.44781, -97.78172,30.4443193,-97.7853993
McDonald's # 16899,78750.0,2022-12-22,98,"12801 N FM 620 RD AUSTIN, TX 78750 ",12396761,Routine Inspection,"['30.46604', ' -97.80362']",30.46604, -97.80362,30.4654826,-97.8031763
EZ Corner Store,78745.0,2022-12-22,86,"719 W WILLIAM CANNON DR AUSTIN, TX 78745 ",2803518,Routine Inspection,"['30.19661', ' -97.78845']",30.19661, -97.78845,30.1962635,-97.7889089
Panda Express,78726.0,2022-12-22,94,"11521 N FM 620 RD AUSTIN, TX 78726 ",2802514,Routine Inspection,"['30.4547', ' -97.82594']",30.4547, -97.82594,30.4533313,-97.8273145
Amy's Ice Cream,78748.0,2022-12-22,92,"9600 S IH AUSTIN, TX 78748",10014585,Routine Inspection,,,,30.1611849,-97.7917935
Lamme's Candies,78751.0,2022-12-22,100,"5330 AIRPORT BLVD AUSTIN, TX 78751 ",2803345,Routine Inspection,"['30.31572', ' -97.71449']",30.31572, -97.71449,30.3157315,-97.7146296
Circle K ,78745.0,2022-12-22,95,"1405 W WILLIAM CANNON DR AUSTIN, TX 78745 ",2803580,Routine Inspection,"['30.20044', ' -97.79919']",30.20044, -97.79919,30.2001345,-97.7994061
PF - The Springs of Austin LLC,78660.0,2022-12-22,92,"1020 E WELLS BRANCH PKWY PFLUGERVILLE, TX 78660 ",12396357,Routine Inspection,"['30.42926', ' -97.63607']",30.42926, -97.63607,30.4294829,-97.6357288
Vitamix,78759.0,2022-12-22,98,"10401 RESEARCH BLVD AUSTIN, TX 78759 ",11555077,Routine Inspection,"['30.39653', ' -97.74577']",30.39653, -97.74577,30.396879,-97.7454261
Domino's,78701.0,2022-12-22,95,"311 W 5TH ST AUSTIN, TX 78701 ",12393068,Routine Inspection,"['30.26804', ' -97.74639']",30.26804, -97.74639,30.2676536,-97.7465196
Cooper's Sandwiches,78735.0,2022-12-22,92,"4601 SOUTHWEST PKWY AUSTIN, TX 78735 ",12185936,Routine Inspection,"['30.239904', ' -97.831659']",30.239904, -97.831659,30.2394548,-97.8318236
Subway # 63381,78723.0,2022-12-22,93,"7112 ED BLUESTEIN BLVD AUSTIN, TX 78723 ",11280513,Routine Inspection,"['30.31268', ' -97.66279']",30.31268, -97.66279,30.3137252,-97.6634899
MN - Chokdee Restaurant,78653.0,2022-12-22,87,11300 HWY 290 STE 160 MANOR TX 78653 ,11647869,Routine Inspection,"['30.34971', ' -97.55411']",30.34971, -97.55411,30.3498683,-97.554578
Dollar Tree ,78748.0,2022-12-22,96,"9500 S IH AUSTIN, TX 78748",12392757,Routine Inspection,,,,30.1649238,-97.7928592
Chipotle Mexican Grill ,78704.0,2022-12-22,94,"2320 S LAMAR BLVD AUSTIN, TX 78704 ",10828111,Routine Inspection,"['30.24724', ' -97.77556']",30.24724, -97.77556,30.2476302,-97.7754748
MN - Super Donuts #9,78653.0,2022-12-22,91,"14001 SHADOWGLEN BLVD MANOR, TX 78653 ",11475217,Routine Inspection,"['30.3503', ' -97.54669']",30.3503, -97.54669,30.3502407,-97.5471079
